indicator,country,countryiso3code,date,value,unit,obs_status,decimal,Region
Urban population (% of total population),Singapore,SGP,1960,100.0,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2024,,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2023,53.608,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2022,52.889,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2021,52.163,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2020,51.43,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2019,50.692,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2018,49.949,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2017,49.2,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2016,48.448,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2015,47.694,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2014,46.943,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2013,46.193,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2012,45.445,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2011,44.698,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2010,43.856,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2009,42.543,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2008,41.242,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2007,39.95,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2006,38.673,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2005,37.411,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2004,36.169,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2003,34.941,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2002,33.734,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2001,32.548,,,0,ASEAN
Urban population (% of total population),Thailand,THA,2000,31.386,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1999,30.969,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1998,30.795,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1997,30.622,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1996,30.449,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1995,30.276,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1994,30.105,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1993,29.934,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1992,29.763,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1991,29.593,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1990,29.424,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1989,29.167,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1988,28.897,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1987,28.628,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1986,28.361,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1985,28.095,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1984,27.832,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1983,27.569,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1982,27.308,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1981,27.049,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1980,26.791,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1979,26.242,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1978,25.606,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1977,24.98,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1976,24.365,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1975,23.758,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1974,23.164,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1973,22.579,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1972,22.006,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1971,21.442,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1970,20.889,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1969,20.668,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1968,20.556,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1967,20.444,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1966,20.332,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1965,20.221,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1964,20.11,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1963,20.0,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1962,19.89,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1961,19.781,,,0,ASEAN
Urban population (% of total population),Thailand,THA,1960,19.672,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2024,,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2023,39.48,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2022,38.766,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2021,38.052,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2020,37.34,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2019,36.628,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2018,35.919,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2017,35.213,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2016,34.51,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2015,33.809,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2014,33.115,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2013,32.429,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2012,31.752,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2011,31.08,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2010,30.417,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2009,29.762,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2008,29.128,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2007,28.504,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2006,27.888,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2005,27.281,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2004,26.683,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2003,26.092,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2002,25.511,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2001,24.937,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,2000,24.374,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1999,23.817,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1998,23.371,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1997,22.965,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1996,22.563,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1995,22.166,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1994,21.774,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1993,21.387,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1992,21.006,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1991,20.629,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1990,20.257,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1989,19.891,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1988,19.752,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1987,19.688,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1986,19.625,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1985,19.561,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1984,19.498,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1983,19.435,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1982,19.372,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1981,19.309,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1980,19.247,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1979,19.175,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1978,19.076,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1977,18.978,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1976,18.88,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1975,18.782,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1974,18.685,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1973,18.588,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1972,18.492,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1971,18.396,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1970,18.3,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1969,17.911,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1968,17.529,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1967,17.153,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1966,16.784,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1965,16.421,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1964,16.064,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1963,15.714,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1962,15.369,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1961,15.031,,,0,ASEAN
Urban population (% of total population),Viet Nam,VNM,1960,14.7,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2024,,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2023,20.851,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2022,21.146,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2021,21.446,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2020,21.75,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2019,22.058,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2018,22.371,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2017,22.688,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2016,23.01,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2015,23.337,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2014,23.668,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2013,24.003,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2012,24.344,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2011,24.69,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2010,25.039,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2009,25.392,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2008,25.748,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2007,26.108,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2006,26.471,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2005,26.837,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2004,27.206,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2003,27.579,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2002,27.954,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2001,28.348,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,2000,28.836,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1999,29.331,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1998,29.83,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1997,30.334,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1996,30.842,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1995,31.356,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1994,31.874,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1993,32.396,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1992,32.922,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1991,33.415,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1990,33.562,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1989,33.71,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1988,33.857,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1987,34.006,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1986,34.154,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1985,34.303,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1984,34.452,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1983,34.601,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1982,34.751,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1981,34.901,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1980,35.051,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1979,35.202,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1978,35.353,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1977,35.504,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1976,35.655,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1975,35.807,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1974,35.959,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1973,36.111,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1972,36.264,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1971,36.588,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1970,38.325,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1969,40.092,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1968,41.882,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1967,43.7,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1966,45.531,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1965,47.375,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1964,49.224,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1963,51.08,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1962,52.93,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1961,54.772,,,0,ASEAN
Rural population (% of total population),Brunei Darussalam,BRN,1960,56.599,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2024,,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2023,41.428,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2022,42.066,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2021,42.71,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2020,43.359,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2019,44.015,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2018,44.675,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2017,45.341,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2016,46.011,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2015,46.687,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2014,47.365,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2013,48.045,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2012,48.724,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2011,49.405,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2010,50.086,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2009,50.866,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2008,51.665,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2007,52.465,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2006,53.262,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2005,54.058,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2004,54.851,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2003,55.644,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2002,56.432,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2001,57.217,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,2000,57.998,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1999,59.208,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1998,60.407,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1997,61.594,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1996,62.765,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1995,63.924,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1994,65.067,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1993,66.192,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1992,67.297,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1991,68.387,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1990,69.416,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1989,70.349,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1988,71.264,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1987,72.165,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1986,73.047,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1985,73.911,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1984,74.756,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1983,75.585,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1982,76.394,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1981,77.185,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1980,77.896,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1979,78.476,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1978,79.044,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1977,79.602,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1976,80.147,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1975,80.683,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1974,81.207,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1973,81.72,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1972,82.221,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1971,82.662,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1970,82.929,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1969,83.191,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1968,83.451,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1967,83.707,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1966,83.961,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1965,84.211,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1964,84.457,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1963,84.701,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1962,84.942,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1961,85.179,,,0,ASEAN
Rural population (% of total population),Indonesia,IDN,1960,85.414,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2024,,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2023,74.43,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2022,74.886,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2021,75.332,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2020,75.768,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2019,76.195,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2018,76.612,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2017,77.02,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2016,77.418,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2015,77.812,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2014,78.201,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2013,78.585,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2012,78.963,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2011,79.337,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2010,79.706,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2009,80.07,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2008,80.429,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2007,80.587,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2006,80.707,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2005,80.826,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2004,80.945,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2003,81.063,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2002,81.18,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2001,81.297,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,2000,81.414,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1999,81.53,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1998,81.645,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1997,81.94,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1996,82.317,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1995,82.689,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1994,83.054,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1993,83.413,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1992,83.766,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1991,84.113,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1990,84.454,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1989,84.789,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1988,85.117,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1987,85.441,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1986,85.758,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1985,86.069,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1984,86.374,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1983,86.675,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1982,86.969,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1981,87.258,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1980,90.102,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1979,94.001,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1978,94.422,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1977,94.814,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1976,95.18,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1975,95.523,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1974,70.945,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1973,74.737,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1972,78.182,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1971,81.283,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1970,84.03,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1969,85.421,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1968,86.709,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1967,87.902,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1966,89.0,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1965,89.17,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1964,89.338,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1963,89.503,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1962,89.667,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1961,89.707,,,0,ASEAN
Rural population (% of total population),Cambodia,KHM,1960,89.715,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2024,,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2023,61.753,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2022,62.408,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2021,63.061,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2020,63.71,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2019,64.355,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2018,64.996,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2017,65.632,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2016,66.264,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2015,66.892,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2014,67.513,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2013,68.128,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2012,68.736,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2011,69.34,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2010,69.936,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2009,70.525,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2008,71.107,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2007,71.684,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2006,72.252,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2005,72.814,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2004,73.758,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2003,74.874,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2002,75.956,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2001,77.007,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,2000,78.023,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1999,79.009,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1998,79.961,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1997,80.88,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1996,81.766,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1995,82.622,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1994,83.146,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1993,83.51,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1992,83.867,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1991,84.218,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1990,84.563,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1989,84.902,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1988,85.234,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1987,85.561,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1986,85.882,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1985,86.196,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1984,86.496,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1983,86.786,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1982,87.07,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1981,87.35,,,0,ASEAN
Rural population (% of total population),Lao PDR,LAO,1980,87.623,,,0,ASEAN
