"","code","year","mobile_money_transactions"
"821","FRA","2020",NA
"822","FRA","2021",NA
"823","FRA","2022",NA
"824","FRA","2023",NA
"825","MUS","2016",0.004691479
"826","MUS","2017",0.005217178
"827","MUS","2018",0.006219415
"828","MUS","2019",0.036593843
"829","MUS","2020",0.175104818
"830","MUS","2021",0.606875284
"831","MUS","2022",0.755654452
"832","MUS","2023",1.017007522
"833","MUS","2016",21
"834","MUS","2017",24.67
"835","MUS","2018",31.1
"836","MUS","2019",187.4
"837","MUS","2020",786
"838","MUS","2021",2905.761341
"839","MUS","2022",4316.252891
"840","MUS","2023",6628.02108
"841","KAZ","2016",NA
"842","KAZ","2017",NA
"843","KAZ","2018",NA
"844","KAZ","2019",NA
"845","KAZ","2020",NA
"846","KAZ","2021",NA
"847","KAZ","2022",NA
"848","KAZ","2023",NA
"849","KAZ","2016",NA
"850","KAZ","2017",NA
"851","KAZ","2018",NA
"852","KAZ","2019",NA
"853","KAZ","2020",NA
"854","KAZ","2021",NA
"855","KAZ","2022",NA
"856","KAZ","2023",NA
"857","GNQ","2016",NA
"858","GNQ","2017",NA
"859","GNQ","2018",NA
"860","GNQ","2019",NA
"861","GNQ","2020",NA
"862","GNQ","2021",NA
"863","GNQ","2022",NA
"864","GNQ","2023",NA
"865","PSE","2016",NA
"866","PSE","2017",NA
"867","PSE","2018",NA
"868","PSE","2019",NA
"869","PSE","2020",NA
"870","PSE","2021",55.3
"871","PSE","2022",NA
"872","PSE","2023",NA
"873","PSE","2016",NA
"874","PSE","2017",NA
"875","PSE","2018",NA
"876","PSE","2019",NA
"877","PSE","2020",NA
"878","PSE","2021",0.305373019
"879","PSE","2022",NA
"880","PSE","2023",NA
"881","GNQ","2016",NA
"882","GNQ","2017",NA
"883","GNQ","2018",NA
"884","GNQ","2019",NA
"885","GNQ","2020",NA
"886","GNQ","2021",NA
"887","GNQ","2022",NA
"888","GNQ","2023",NA
"889",NA,"2016",NA
"890",NA,"2017",NA
"891",NA,"2018",NA
"892",NA,"2019",NA
"893",NA,"2020",NA
"894",NA,"2021",NA
"895",NA,"2022",NA
"896",NA,"2023",NA
"897",NA,"2016",NA
"898",NA,"2017",NA
"899",NA,"2018",NA
"900",NA,"2019",NA
"901",NA,"2020",NA
"902",NA,"2021",NA
"903",NA,"2022",NA
"904",NA,"2023",NA
"905","BIH","2016",NA
"906","BIH","2017",NA
"907","BIH","2018",NA
"908","BIH","2019",NA
"909","BIH","2020",NA
"910","BIH","2021",NA
"911","BIH","2022",NA
"912","BIH","2023",NA
"913","SYC","2016",16
"914","SYC","2017",22
"915","SYC","2018",10
"916","SYC","2019",26
"917","SYC","2020",47
"918","SYC","2021",42
"919","SYC","2022",45
"920","SYC","2023",NA
"921","SYC","2016",0.082338496
"922","SYC","2017",0.105373555
"923","SYC","2018",0.045272928
"924","SYC","2019",0.112622529
"925","SYC","2020",0.225425922
"926","SYC","2021",0.192913363
"927","SYC","2022",0.198491471
"928","SYC","2023",NA
"929","BIH","2016",NA
"930","BIH","2017",NA
"931","BIH","2018",NA
"932","BIH","2019",NA
"933","BIH","2020",NA
"934","BIH","2021",NA
"935","BIH","2022",NA
"936","BIH","2023",NA
"937","ITA","2016",NA
"938","ITA","2017",NA
"939","ITA","2018",NA
"940","ITA","2019",NA
"941","ITA","2020",NA
"942","ITA","2021",NA
"943","ITA","2022",NA
"944","ITA","2023",NA
"945","MDA","2016",NA
"946","MDA","2017",NA
"947","MDA","2018",NA
"948","MDA","2019",NA
"949","MDA","2020",NA
"950","MDA","2021",NA
"951","MDA","2022",NA
"952","MDA","2023",NA
"953","BLZ","2016",NA
"954","BLZ","2017",NA
"955","BLZ","2018",NA
"956","BLZ","2019",NA
"957","BLZ","2020",NA
"958","BLZ","2021",NA
"959","BLZ","2022",NA
"960","BLZ","2023",NA
"961","MDA","2016",NA
"962","MDA","2017",NA
"963","MDA","2018",NA
"964","MDA","2019",NA
"965","MDA","2020",NA
"966","MDA","2021",NA
"967","MDA","2022",NA
"968","MDA","2023",NA
"969","ITA","2016",NA
"970","ITA","2017",NA
"971","ITA","2018",NA
"972","ITA","2019",NA
"973","ITA","2020",NA
"974","ITA","2021",NA
"975","ITA","2022",NA
"976","ITA","2023",NA
"977","SRB","2016",NA
"978","SRB","2017",NA
"979","SRB","2018",NA
"980","SRB","2019",NA
"981","SRB","2020",NA
"982","SRB","2021",NA
"983","SRB","2022",NA
