country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Pakistan,1984,"Mortality rate, infant (per 1,000 live births)",PAK,122.7,,,0,South Asia
Pakistan,1983,"Mortality rate, infant (per 1,000 live births)",PAK,124.1,,,0,South Asia
Pakistan,1982,"Mortality rate, infant (per 1,000 live births)",PAK,125.2,,,0,South Asia
Pakistan,1981,"Mortality rate, infant (per 1,000 live births)",PAK,126.2,,,0,South Asia
Pakistan,1980,"Mortality rate, infant (per 1,000 live births)",PAK,127.1,,,0,South Asia
Pakistan,1979,"Mortality rate, infant (per 1,000 live births)",PAK,127.9,,,0,South Asia
Pakistan,1978,"Mortality rate, infant (per 1,000 live births)",PAK,128.6,,,0,South Asia
Pakistan,1977,"Mortality rate, infant (per 1,000 live births)",PAK,129.3,,,0,South Asia
Pakistan,1976,"Mortality rate, infant (per 1,000 live births)",PAK,130.1,,,0,South Asia
Pakistan,1975,"Mortality rate, infant (per 1,000 live births)",PAK,130.8,,,0,South Asia
Pakistan,1974,"Mortality rate, infant (per 1,000 live births)",PAK,131.7,,,0,South Asia
Pakistan,1973,"Mortality rate, infant (per 1,000 live births)",PAK,132.6,,,0,South Asia
Pakistan,1972,"Mortality rate, infant (per 1,000 live births)",PAK,133.6,,,0,South Asia
Pakistan,1971,"Mortality rate, infant (per 1,000 live births)",PAK,134.7,,,0,South Asia
Pakistan,1970,"Mortality rate, infant (per 1,000 live births)",PAK,136.0,,,0,South Asia
Pakistan,1969,"Mortality rate, infant (per 1,000 live births)",PAK,137.3,,,0,South Asia
Pakistan,1968,"Mortality rate, infant (per 1,000 live births)",PAK,139.0,,,0,South Asia
Pakistan,1967,"Mortality rate, infant (per 1,000 live births)",PAK,140.8,,,0,South Asia
Pakistan,1966,"Mortality rate, infant (per 1,000 live births)",PAK,143.1,,,0,South Asia
Pakistan,1965,"Mortality rate, infant (per 1,000 live births)",PAK,145.9,,,0,South Asia
Pakistan,1964,"Mortality rate, infant (per 1,000 live births)",PAK,149.3,,,0,South Asia
Pakistan,1963,"Mortality rate, infant (per 1,000 live births)",PAK,153.1,,,0,South Asia
Pakistan,1962,"Mortality rate, infant (per 1,000 live births)",PAK,157.4,,,0,South Asia
Pakistan,1961,"Mortality rate, infant (per 1,000 live births)",PAK,162.0,,,0,South Asia
Pakistan,1960,"Mortality rate, infant (per 1,000 live births)",PAK,167.0,,,0,South Asia
Bangladesh,2024,Population density (people per sq. km of land area),BGD,,,,0,South Asia
Bangladesh,2023,Population density (people per sq. km of land area),BGD,,,,0,South Asia
Bangladesh,2022,Population density (people per sq. km of land area),BGD,1301.25909963893,,,0,South Asia
Bangladesh,2021,Population density (people per sq. km of land area),BGD,1287.99918568026,,,0,South Asia
Bangladesh,2020,Population density (people per sq. km of land area),BGD,1277.54493354844,,,0,South Asia
Bangladesh,2019,Population density (people per sq. km of land area),BGD,1266.90523930245,,,0,South Asia
Bangladesh,2018,Population density (people per sq. km of land area),BGD,1256.22726434662,,,0,South Asia
Bangladesh,2017,Population density (people per sq. km of land area),BGD,1245.95641852962,,,0,South Asia
Bangladesh,2016,Population density (people per sq. km of land area),BGD,1235.3993393255,,,0,South Asia
Bangladesh,2015,Population density (people per sq. km of land area),BGD,1224.42328493508,,,0,South Asia
Bangladesh,2014,Population density (people per sq. km of land area),BGD,1213.52791733886,,,0,South Asia
Bangladesh,2013,Population density (people per sq. km of land area),BGD,1202.52086502266,,,0,South Asia
Bangladesh,2012,Population density (people per sq. km of land area),BGD,1191.28909118845,,,0,South Asia
Bangladesh,2011,Population density (people per sq. km of land area),BGD,1179.92683413997,,,0,South Asia
Bangladesh,2010,Population density (people per sq. km of land area),BGD,1169.25544288238,,,0,South Asia
Bangladesh,2009,Population density (people per sq. km of land area),BGD,1159.05134823692,,,0,South Asia
Bangladesh,2008,Population density (people per sq. km of land area),BGD,1148.30040715987,,,0,South Asia
Bangladesh,2007,Population density (people per sq. km of land area),BGD,1136.89235614965,,,0,South Asia
Bangladesh,2006,Population density (people per sq. km of land area),BGD,1124.7289928555,,,0,South Asia
Bangladesh,2005,Population density (people per sq. km of land area),BGD,1111.74453407083,,,0,South Asia
Bangladesh,2004,Population density (people per sq. km of land area),BGD,1097.8171314435,,,0,South Asia
Bangladesh,2003,Population density (people per sq. km of land area),BGD,1082.97112237843,,,0,South Asia
Bangladesh,2002,Population density (people per sq. km of land area),BGD,1067.32471383575,,,0,South Asia
Bangladesh,2001,Population density (people per sq. km of land area),BGD,1050.97802873166,,,0,South Asia
Bangladesh,2000,Population density (people per sq. km of land area),BGD,1033.6045478989,,,0,South Asia
Bangladesh,1999,Population density (people per sq. km of land area),BGD,1014.88872243989,,,0,South Asia
Bangladesh,1998,Population density (people per sq. km of land area),BGD,995.792671122378,,,0,South Asia
Bangladesh,1997,Population density (people per sq. km of land area),BGD,977.168848428978,,,0,South Asia
Bangladesh,1996,Population density (people per sq. km of land area),BGD,959.223930245064,,,0,South Asia
Bangladesh,1995,Population density (people per sq. km of land area),BGD,941.848121687025,,,0,South Asia
Bangladesh,1994,Population density (people per sq. km of land area),BGD,924.507789813321,,,0,South Asia
Bangladesh,1993,Population density (people per sq. km of land area),BGD,907.523699777214,,,0,South Asia
Bangladesh,1992,Population density (people per sq. km of land area),BGD,890.775078743182,,,0,South Asia
Bangladesh,1991,Population density (people per sq. km of land area),BGD,874.142344626258,,,0,South Asia
Bangladesh,1990,Population density (people per sq. km of land area),BGD,857.599423830376,,,0,South Asia
Bangladesh,1989,Population density (people per sq. km of land area),BGD,840.699078128601,,,0,South Asia
Bangladesh,1988,Population density (people per sq. km of land area),BGD,823.661427364216,,,0,South Asia
Bangladesh,1987,Population density (people per sq. km of land area),BGD,806.324736882538,,,0,South Asia
Bangladesh,1986,Population density (people per sq. km of land area),BGD,788.473319505262,,,0,South Asia
Bangladesh,1985,Population density (people per sq. km of land area),BGD,770.176115848506,,,0,South Asia
Bangladesh,1984,Population density (people per sq. km of land area),BGD,751.440162863947,,,0,South Asia
Bangladesh,1983,Population density (people per sq. km of land area),BGD,732.389605899977,,,0,South Asia
Bangladesh,1982,Population density (people per sq. km of land area),BGD,713.025328416686,,,0,South Asia
Bangladesh,1981,Population density (people per sq. km of land area),BGD,693.732081124683,,,0,South Asia
Bangladesh,1980,Population density (people per sq. km of land area),BGD,676.165260812783,,,0,South Asia
Bangladesh,1979,Population density (people per sq. km of land area),BGD,660.175708688638,,,0,South Asia
Bangladesh,1978,Population density (people per sq. km of land area),BGD,644.46228009526,,,0,South Asia
Bangladesh,1977,Population density (people per sq. km of land area),BGD,628.925743258815,,,0,South Asia
Bangladesh,1976,Population density (people per sq. km of land area),BGD,613.469447645387,,,0,South Asia
Bangladesh,1975,Population density (people per sq. km of land area),BGD,598.0974955827,,,0,South Asia
Bangladesh,1974,Population density (people per sq. km of land area),BGD,582.617715295383,,,0,South Asia
Bangladesh,1973,Population density (people per sq. km of land area),BGD,566.353952523623,,,0,South Asia
Bangladesh,1972,Population density (people per sq. km of land area),BGD,550.368894522547,,,0,South Asia
Bangladesh,1971,Population density (people per sq. km of land area),BGD,539.884443420143,,,0,South Asia
Bangladesh,1970,Population density (people per sq. km of land area),BGD,530.528493508489,,,0,South Asia
Bangladesh,1969,Population density (people per sq. km of land area),BGD,516.971137742952,,,0,South Asia
Bangladesh,1968,Population density (people per sq. km of land area),BGD,502.483490819697,,,0,South Asia
Bangladesh,1967,Population density (people per sq. km of land area),BGD,487.907574709995,,,0,South Asia
Bangladesh,1966,Population density (people per sq. km of land area),BGD,473.763586079742,,,0,South Asia
Bangladesh,1965,Population density (people per sq. km of land area),BGD,460.186824921257,,,0,South Asia
Bangladesh,1964,Population density (people per sq. km of land area),BGD,446.941491895214,,,0,South Asia
Bangladesh,1963,Population density (people per sq. km of land area),BGD,434.08160098333,,,0,South Asia
Bangladesh,1962,Population density (people per sq. km of land area),BGD,421.611323653684,,,0,South Asia
Bangladesh,1961,Population density (people per sq. km of land area),BGD,409.544042406084,,,0,South Asia
Bangladesh,1960,Population density (people per sq. km of land area),BGD,,,,0,South Asia
Bhutan,2024,Population density (people per sq. km of land area),BTN,,,,0,South Asia
Bhutan,2023,Population density (people per sq. km of land area),BTN,,,,0,South Asia
Bhutan,2022,Population density (people per sq. km of land area),BTN,20.4749344520189,,,0,South Asia
Bhutan,2021,Population density (people per sq. km of land area),BTN,20.3314630309386,,,0,South Asia
Bhutan,2020,Population density (people per sq. km of land area),BTN,20.1889355007866,,,0,South Asia
Bhutan,2019,Population density (people per sq. km of land area),BTN,20.0530676455165,,,0,South Asia
Bhutan,2018,Population density (people per sq. km of land area),BTN,19.920267435763,,,0,South Asia
Bhutan,2017,Population density (people per sq. km of land area),BTN,19.7759804949664,,,0,South Asia
Bhutan,2016,Population density (people per sq. km of land area),BTN,19.6063863255034,,,0,South Asia
Bhutan,2015,Population density (people per sq. km of land area),BTN,19.4301230422121,,,0,South Asia
Bhutan,2014,Population density (people per sq. km of land area),BTN,19.2339113781252,,,0,South Asia
Bhutan,2013,Population density (people per sq. km of land area),BTN,19.0275467639111,,,0,South Asia
Bhutan,2012,Population density (people per sq. km of land area),BTN,18.8178240680012,,,0,South Asia
Bhutan,2011,Population density (people per sq. km of land area),BTN,18.6105149933101,,,0,South Asia
Bhutan,2010,Population density (people per sq. km of land area),BTN,18.407324815699,,,0,South Asia
Bhutan,2009,Population density (people per sq. km of land area),BTN,18.2067843744261,,,0,South Asia
Bhutan,2008,Population density (people per sq. km of land area),BTN,18.0064275782459,,,0,South Asia
Bhutan,2007,Population density (people per sq. km of land area),BTN,17.8041556260986,,,0,South Asia
Bhutan,2006,Population density (people per sq. km of land area),BTN,17.5984206522024,,,0,South Asia
Bhutan,2005,Population density (people per sq. km of land area),BTN,17.3640370438387,,,0,South Asia
Bhutan,2004,Population density (people per sq. km of land area),BTN,17.0670304588504,,,0,South Asia
Bhutan,2003,Population density (people per sq. km of land area),BTN,16.0216834170854,,,0,South Asia
Bhutan,2002,Population density (people per sq. km of land area),BTN,15.6886683417085,,,0,South Asia
Bhutan,2001,Population density (people per sq. km of land area),BTN,15.3465829145729,,,0,South Asia
Bhutan,2000,Population density (people per sq. km of land area),BTN,14.9965577889447,,,0,South Asia
Bhutan,1999,Population density (people per sq. km of land area),BTN,14.6376633165829,,,0,South Asia
Bhutan,1998,Population density (people per sq. km of land area),BTN,14.3074120603015,,,0,South Asia
Bhutan,1997,Population density (people per sq. km of land area),BTN,14.0376130653266,,,0,South Asia
Bhutan,1996,Population density (people per sq. km of land area),BTN,13.7885427135678,,,0,South Asia
Bhutan,1995,Population density (people per sq. km of land area),BTN,13.768567839196,,,0,South Asia
Bhutan,1994,Population density (people per sq. km of land area),BTN,13.9320854271357,,,0,South Asia
Bhutan,1993,Population density (people per sq. km of land area),BTN,11.8715193801768,,,0,South Asia
Bhutan,1992,Population density (people per sq. km of land area),BTN,12.3659439676391,,,0,South Asia
Bhutan,1991,Population density (people per sq. km of land area),BTN,12.8370181709222,,,0,South Asia
Bhutan,1990,Population density (people per sq. km of land area),BTN,12.6123536587976,,,0,South Asia
Bhutan,1989,Population density (people per sq. km of land area),BTN,12.2763093123301,,,0,South Asia
Bhutan,1988,Population density (people per sq. km of land area),BTN,11.9210239068553,,,0,South Asia
Bhutan,1987,Population density (people per sq. km of land area),BTN,11.5693983691116,,,0,South Asia
Bhutan,1986,Population density (people per sq. km of land area),BTN,11.2219677674807,,,0,South Asia
Bhutan,1985,Population density (people per sq. km of land area),BTN,10.8809793891659,,,0,South Asia
Bhutan,1984,Population density (people per sq. km of land area),BTN,10.5469254970785,,,0,South Asia
Bhutan,1983,Population density (people per sq. km of land area),BTN,10.2189499818077,,,0,South Asia
Bhutan,1982,Population density (people per sq. km of land area),BTN,9.8984440211459,,,0,South Asia
Bhutan,1981,Population density (people per sq. km of land area),BTN,9.58491535218201,,,0,South Asia
Bhutan,1980,Population density (people per sq. km of land area),BTN,9.27603107677161,,,0,South Asia
Bhutan,1979,Population density (people per sq. km of land area),BTN,8.97202662500268,,,0,South Asia
Bhutan,1978,Population density (people per sq. km of land area),BTN,8.67330864884532,,,0,South Asia
Bhutan,1977,Population density (people per sq. km of land area),BTN,8.38214583823813,,,0,South Asia
Bhutan,1976,Population density (people per sq. km of land area),BTN,8.10072127217858,,,0,South Asia
