,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
35,Andaman & Nicobar Islands,1937,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5
36,Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521.0,1930.6,742.2
37,Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1
38,Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8,3007.5,3.3,380.1,1970.2,653.9
39,Andaman & Nicobar Islands,1941,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5,2898.2,12.8,329.7,1627.4,928.3
40,Andaman & Nicobar Islands,1942,39.2,7.4,,,,,,,,,,,,46.6,,,
41,Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8,2791.6,88.0,465.4,1570.6,667.6
42,Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,,376.0,67.5,168.6,,136.2,397.2,,612.1
43,Andaman & Nicobar Islands,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6,56.4,572.3,2433.2,427.7
44,Andaman & Nicobar Islands,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
45,Andaman & Nicobar Islands,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
46,Andaman & Nicobar Islands,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562.0,1824.8,692.3
47,Andaman & Nicobar Islands,1953,56.0,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246.0,63.3,2721.9,121.3,420.5,1627.1,552.9
48,Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58.0,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449.0,85.9,487.0,2419.4,456.7
49,Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6
50,Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080.0,126.4,656.0,1604.4,693.3
51,Andaman & Nicobar Islands,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166.0,1833.6,460.3
52,Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4,37.2,410.2,1710.4,649.6
53,Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3,11.9,356.1,2271.7,703.6
54,Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400.0,191.7,92.8,3025.0,176.6,601.0,1563.0,684.5
55,Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612.0,379.9,280.6,144.5,3938.2,181.5,1094.5,1857.3,805.0
56,Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7,167.3,374.1,1671.9,746.4
57,Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7,106.7,336.8,1953.5,584.7
58,Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8,87.4,551.8,1745.9,669.8
59,Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8
60,Andaman & Nicobar Islands,1966,79.8,4.2,12.0,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,83.9,427.6,1372.1,817.6
61,Andaman & Nicobar Islands,1967,164.6,21.6,30.0,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97.0,3216.4,186.2,609.7,1796.4,624.1
62,Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242.0,496.8,281.6,152.0,119.2,2762.8,23.4,383.3,1803.3,552.8
63,Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619.0,171.0,352.7,1539.1,556.3
64,Andaman & Nicobar Islands,1970,72.2,34.0,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8,106.2,488.7,1738.2,1037.7
65,Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398.0,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6,74.3,471.0,1613.7,839.6
66,Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470.0,544.6,384.9,444.5,263.8,413.9,180.0,3323.0,15.3,605.9,1844.0,857.7
67,Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1,38.5,478.7,1587.8,886.1
68,Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,2962.0,66.0,672.0,1378.7,845.3
69,Andaman & Nicobar Islands,1975,276.9,27.5,8.0,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7,3085.7,304.4,395.2,1589.1,797.0
70,Andaman & Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387.0,166.8,307.2,359.6,3276.0,30.6,713.5,1698.2,833.7
71,Andaman & Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3,341.1,345.5,467.1,263.6,153.3,67.1,2388.2,122.9,288.3,1492.9,484.1
72,Andaman & Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2,656.6,346.3,310.8,243.7,83.4,44.6,2712.4,138.9,425.9,1775.9,371.6
73,Andaman & Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,169.8,13.6,1849.4,44.9,215.0,1242.5,347.0
74,Andaman & Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2,575.7,494.4,271.9,252.0,143.7,500.7,3625.3,6.3,776.5,1946.3,896.3
