"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","LTU.FA63N.PTADLT_NUM.A","OBS_VALUE","Lithuania, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MDV.FA63N.PTADLT_NUM.A","OBS_VALUE","Maldives","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","10.51465214418747","19.90308504160747","19.21733835390026","14.73030773677996","63.12251056713973","62.74288794687707",""
"IMF.STA:FAS(4.0.0)","HRV.FA63N.PTADLT_NUM.A","OBS_VALUE","Croatia, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NIC.FA63N.PTADLT_NUM.A","OBS_VALUE","Nicaragua","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","38.43653570495484","55.21515312910921","79.79993019930629","121.6730458730842","75.77154182624086","64.90262446892922",""
"IMF.STA:FAS(4.0.0)","CHE.FA63N.PTADLT_NUM.A","OBS_VALUE","Switzerland","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","JAM.FA63N.PTADLT_NUM.A","OBS_VALUE","Jamaica","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","7.834124851403972","9.901562666486956","59.7277831667084","52.53960299151443","44.45432456369216","1.955055346906503","0.6347117486242788",""
"IMF.STA:FAS(4.0.0)","ARG.FA63N.PTADLT_NUM.A","OBS_VALUE","Argentina","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CHL.FA63N.PTADLT_NUM.A","OBS_VALUE","Chile","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CRI.FA63N.PTADLT_NUM.A","OBS_VALUE","Costa Rica","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CYP.FA63N.PTADLT_NUM.A","OBS_VALUE","Cyprus","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MLT.FA63N.PTADLT_NUM.A","OBS_VALUE","Malta","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BTN.FA63N.PTADLT_NUM.A","OBS_VALUE","Bhutan","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CZE.FA63N.PTADLT_NUM.A","OBS_VALUE","Czech Republic","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ISR.FA63N.PTADLT_NUM.A","OBS_VALUE","Israel","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EGY.FA63N.PTADLT_NUM.A","OBS_VALUE","Egypt, Arab Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","16.30774416499249","32.90312590751385","74.11586189462363","107.9768909680846","181.7708207559564",""
"IMF.STA:FAS(4.0.0)","TLS.FA63N.PTADLT_NUM.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
