"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","CIV.FA65.XDC.A","OBS_VALUE","Côte d'Ivoire","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","4923380.0","6533677.0","9703362.0","1.0775014E7","1.3936869E7","2.1502942E7","3.2248058E7",""
"IMF.STA:FAS(4.0.0)","BGD.FA65.POGDP.A","OBS_VALUE","Bangladesh","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","11.28902680424922","13.53771291101172","14.35922762095795","14.71553182995173","17.70702715216378","25.07205446701575","27.09142138114695","30.1259139656891"
"IMF.STA:FAS(4.0.0)","GIN.FA65.XDC.A","OBS_VALUE","Guinea","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","6414621.0","1.8470658E7","4.5781799E7","4.808565E7","1.07172789E8","1.56850197E8","1.82040566E8","2.11204627E8"
"IMF.STA:FAS(4.0.0)","GNB.FA65.XDC.A","OBS_VALUE","Guinea-Bissau","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","592.0","3130.0","14918.0","52190.0","146456.0","283877.0","221544.0","559367.0"
"IMF.STA:FAS(4.0.0)","QAT.FA65.XDC.A","OBS_VALUE","Qatar","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2477.61","546.0","1155.0","1318.0","","3285.0","",""
"IMF.STA:FAS(4.0.0)","COM.FA65.POGDP.A","OBS_VALUE","Comoros, Union of the","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ARM.FA65.POGDP.A","OBS_VALUE","Armenia, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GIN.FA65.POGDP.A","OBS_VALUE","Guinea","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","8.321177188355373","19.68442232680504","42.84868179307747","38.9491300671403","79.02889021792403","99.8380302839723","99.71033399264267","100.6151633802424"
"IMF.STA:FAS(4.0.0)","AFG.FA65.XDC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","9174.785515","14381.002624","16399.0","2570.0","","","",""
"IMF.STA:FAS(4.0.0)","IDN.FA65.POGDP.A","OBS_VALUE","Indonesia","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.05695729404635007","0.09106421959018945","0.3180766373215403","0.9168736856286827","1.326843771110882","1.799141786763892","2.08052057935771","2.190890966654751"
"IMF.STA:FAS(4.0.0)","UGA.FA65.XDC.A","OBS_VALUE","Uganda","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","4.38284044990358E7","5.65181910476819E7","7.14007478775298E7","7.30918521903627E7","9.37286115077749E7","1.38920750686578E8","",""
"IMF.STA:FAS(4.0.0)","MOZ.FA65.XDC.A","OBS_VALUE","Mozambique, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","7560.08242411667","147626.732868313","144128.550630575","368145.900177748","534915.850515903","705758.93670917","842749.3100028","1184254.43421294"
"IMF.STA:FAS(4.0.0)","TON.FA65.XDC.A","OBS_VALUE","Tonga","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","34.0","37.0","55.0","","","","",""
"IMF.STA:FAS(4.0.0)","GEO.FA65.XDC.A","OBS_VALUE","Georgia","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
